payment_id,booking_id,amount,payment_method
PAY1000,B1116,9883.49,NETBANKING
PAY1001,B1738,8457.96,NETBANKING
PAY1002,B1873,6495.37,UPI
PAY1003,B1914,5079.38,NETBANKING
PAY1004,B1967,12518.31,CARD
PAY1005,B1998,7319.71,CARD
PAY1006,B1544,8020.26,CARD
PAY1007,B1043,8291.6,UPI
PAY1008,B1508,7277.14,CARD
PAY1009,B1987,4585.24,CARD
PAY1010,B1164,2684.77,UPI
PAY1011,B1367,2379.52,CARD
PAY1012,B1856,11604.48,CARD
PAY1013,B1291,4129.39,NETBANKING
PAY1014,B1848,1779.42,UPI
PAY1015,B1855,12165.24,CARD
PAY1016,B1916,3156.86,CARD
PAY1017,B1897,9752.05,CARD
PAY1018,B1798,,CARD
PAY1019,B1875,,NETBANKING
PAY1020,B1736,6802.73,NETBANKING
PAY1021,B1285,1207.32,NETBANKING
PAY1022,B1203,12774.63,NETBANKING
PAY1023,B1683,8188.97,UPI
PAY1024,B1523,,CARD
PAY1025,B1818,4317.72,NETBANKING
PAY1026,B1120,,CARD
PAY1027,B1944,3644.17,UPI
PAY1028,B1755,4760.39,CARD
PAY1029,B1663,8481.4,CARD
PAY1030,B1663,12656.53,NETBANKING
PAY1031,B1187,6625.76,NETBANKING
PAY1032,B1906,11037.65,UPI
PAY1033,B1012,,CARD
PAY1034,B1602,4028.21,NETBANKING
PAY1035,B1199,12300.69,NETBANKING
PAY1036,B1585,11603.63,NETBANKING
PAY1037,B1767,5997.12,UPI
PAY1038,B1455,14853.28,CARD
PAY1039,B1447,4676.01,NETBANKING
PAY1040,B1787,4567.25,CARD
PAY1041,B1839,11811.63,UPI
PAY1042,B1840,7085.2,CARD
PAY1043,B1070,5631.13,NETBANKING
PAY1044,B1589,3501.28,CARD
PAY1045,B1795,11714.65,CARD
PAY1046,B1129,12008.51,UPI
PAY1047,B1888,8931.9,UPI
PAY1048,B1042,14402.39,CARD
PAY1049,B1519,5454.29,CARD
PAY1050,B1012,4074.67,CARD
PAY1051,B1724,10484.53,UPI
PAY1052,B1622,11617.72,UPI
PAY1053,B1987,4148.68,CARD
PAY1054,B1802,2072.55,UPI
PAY1055,B1534,12347.23,NETBANKING
PAY1056,B1301,14671.03,UPI
PAY1057,B1765,10025.41,UPI
PAY1058,B1526,4890.14,UPI
PAY1059,B1641,14953.42,NETBANKING
PAY1060,B1572,,NETBANKING
